D_code,D_name,P_code,P_name,pb_pru2018,pb_prn2021,pb_prn2022,areas_kmsf,lokaliti_count,demo_category,pb.total,age_group|b20,age_group|20s,age_group|30s,age_group|40s,age_group|50s,age_group|60s,age_group|70s,age_group|80s,age_group|o90,ethnic|bidayuh,ethnic|cina,ethnic|iban,ethnic|lain_lain,ethnic|melayu_melanau,ethnic|orang_ulu,pemilih|awam,pemilih|tentera,pemilih|polis,pemilih|luarnegara,gender|lelaki_count,gender|lelaki_pct,gender|perempuan_count,gender|perempuan_pct
N16,MUARA TUANG,P197, KOTA SAMARAHAN,"18,325","18,644","31,919",399,7,SUBURBAN,"31,919","2,646","7,690","7,242","5,451","4,239","2,843","1,333",422,53,1897,1859,5991,767,21072,268,"31,661",41,215,2,"15,810",49.53,"16,109",50.47
N17,STAKAN,P197, KOTA SAMARAHAN,"15,524","16,992","31,871",100,5,SUBURBAN,"31,871","2,958","9,196","8,205","5,799","3,156","1,652",654,216,35,5665,7255,7503,1119,9181,710,"27,051","4,817",1,2,"16,692",52.37,"15,179",47.63
N18,SEREMBU,P198, PUNCAK BORNEO,"9,753","9,834","15,906",311,22,RURAL,"15,906","1,033","3,428","3,300","2,748","2,609","1,672",763,293,60,11130,3239,507,72,845,129,"15,901",0,5,0,"8,047",50.59,"7,859",49.41
N19,MAMBONG,P198, PUNCAK BORNEO,"19,009","19,315","33,577",497,32,RURAL/SUBURBAN,"33,577","2,266","7,106","7,343","5,973","5,197","3,523","1,599",437,133,20691,8027,2786,263,1392,432,"32,781",0,794,2,"17,130",51.02,"16,447",48.98
N20,TARAT,P198, PUNCAK BORNEO,"17,418","17,717","30,486",520,33,RURAL/SUBURBAN,"30,486","1,928","5,960","6,305","5,321","4,886","3,704","1,709",521,152,18326,8665,1481,217,1642,213,"30,468",0,18,0,"15,414",50.56,"15,072",49.44
N21,TEBEDU,P199, SERIAN,"12,095","12,040","20,539",485,5,RURAL/SUBURBAN,"20,539","1,265","3,957","4,100","3,600","3,575","2,413","1,190",355,84,18939,395,684,89,304,147,"20,530",0,9,0,"10,331",50.3,"10,208",49.7
N22,KEDUP,P199, SERIAN,"11,140","11,202","19,128",406,4,RURAL/SUBURBAN,"19,128","1,179","3,698","4,051","3,344","3,207","2,313",969,266,101,13814,1322,3553,129,157,155,"19,128",0,0,0,"9,905",51.78,"9,223",48.22
N23,BUKIT SEMUJA,P199, SERIAN,"14,394","14,893","25,606",572,6,RURAL/SUBURBAN,"25,606","1,698","5,313","5,217","4,394","4,173","2,980","1,367",380,84,11726,4962,4031,363,4365,184,"25,457",0,148,1,"12,911",50.42,"12,695",49.58
N24,SADONG JAYA,P200, BATANG SADONG,"7,606","7,653","10,432",76,9,RURAL,"10,432",658,"2,095","2,181","1,754","1,752","1,142",628,185,37,63,791,118,159,8934,359,"10,432",0,0,0,"5,124",49.12,"5,308",50.88
N25,SIMUNJAN,P200, BATANG SADONG,"8,329","8,299","12,141",323,14,RURAL,"12,141",844,"2,475","2,583","1,873","1,985","1,433",703,191,54,129,775,3398,164,7353,331,"12,037",0,104,0,"6,011",49.51,"6,130",50.49
N26,GEDONG,P200, BATANG SADONG,"7,278","7,208","10,067",632,7,RURAL,"10,067",674,"1,870","1,924","1,750","1,707","1,278",630,153,81,125,124,3563,130,6047,73,"10,065",0,1,1,"4,979",49.46,"5,088",50.54
N27,SEBUYAU,P201, BATANG LUPAR,"9,427","9,367","13,780",548,6,RURAL,"13,780",845,"2,830","2,869","2,271","2,264","1,577",814,229,81,105,395,4295,61,8882,61,"13,777",0,3,0,"6,941",50.37,"6,839",49.63
N28,LINGGA,P201, BATANG LUPAR,"9,495","9,578","13,955",970,6,RURAL,"13,955",814,"2,791","2,765","2,267","2,428","1,668",880,275,67,87,506,4117,60,9123,86,"13,951",0,2,2,"6,848",49.07,"7,107",50.93
N29,BETING MARO,P201, BATANG LUPAR,"10,889","11,094","15,337",472,3,RURAL,"15,337","1,087","3,191","3,739","2,584","2,448","1,418",634,169,67,35,260,1030,91,13834,67,"15,322",0,14,1,"7,768",50.65,"7,569",49.35
N30,BALAI RINGIN,P202, SRI AMAN,"10,503","10,791","15,892",1314,7,RURAL,"15,892",957,"2,987","2,879","2,668","2,739","2,084","1,135",331,112,455,1176,13216,115,764,171,"15,890",0,2,0,"8,008",50.39,"7,884",49.61
N31,BUKIT BEGUNAN,P202, SRI AMAN,"9,658","9,632","13,685",1057,5,RURAL,"13,685",734,"2,716","2,488","2,154","2,352","1,811","1,075",292,63,183,848,10706,65,1829,117,"13,027",510,148,0,"7,050",51.52,"6,635",48.48
N32,SIMANGGANG,P202, SRI AMAN,"12,855","13,224","20,587",307,7,RURAL/SUBURBAN,"20,587","1,465","4,594","4,189","3,344","2,959","2,372","1,190",397,77,316,6424,10840,82,2754,161,"20,365",0,221,1,"10,163",49.37,"10,424",50.63
N33,ENGKILILI,P203, LUBOK ANTU,"11,020","11,039","14,725",1298,24,RURAL,"14,725",832,"2,513","2,674","2,489","2,728","1,948","1,053",363,125,118,1801,12387,62,273,135,"14,710",0,14,1,"7,363",50,"7,362",50
N34,BATANG AI,P203, LUBOK ANTU,"9,781","9,929","14,270",1996,24,RURAL,"14,270",852,"2,592","2,940","2,491","2,431","1,670",899,270,125,108,508,13173,77,281,131,"14,193",0,77,0,"7,274",50.97,"6,996",49.03
N35,SARIBAS,P204, BETONG,"10,550","10,984","16,406",412,21,RURAL,"16,406","1,186","3,880","3,793","2,613","2,400","1,568",701,202,63,49,467,2278,83,13475,57,"16,400",0,6,0,"8,270",50.41,"8,136",49.59
N36,LAYAR,P204, BETONG,"9,367","9,334","12,615",409,28,RURAL/SUBURBAN,"12,615",699,"2,306","2,493","2,006","2,224","1,643",913,283,48,149,1606,8762,52,1980,117,"12,496",0,119,0,"6,304",49.97,"6,311",50.03
N37,BUKIT SABAN,P204, BETONG,"9,228","9,523","12,722",577,35,RURAL,"12,722",710,"2,387","2,697","2,059","2,140","1,564",813,285,67,109,584,8014,28,3920,75,"12,717",0,5,0,"6,363",50.02,"6,359",49.98
N38,KALAKA,P205, SARATOK,"7,828","8,052","11,928",422,6,RURAL,"11,928",768,"2,628","2,510","1,941","1,951","1,321",596,177,36,39,1309,3268,34,7183,69,"11,820",0,107,1,"5,853",49.07,"6,075",50.93
N39,KRIAN,P205, SARATOK,"12,756","13,074","18,195",829,10,RURAL/SUBURBAN,"18,195","1,135","3,538","3,652","2,797","3,190","2,382","1,143",288,70,160,781,16680,24,365,122,"18,195",0,0,0,"9,226",50.71,"8,969",49.29
N40,KABONG,P205, SARATOK,"9,933","10,111","14,408",415,3,RURAL,"14,408","1,052","3,056","3,119","2,351","2,230","1,614",738,173,75,62,858,3899,59,9428,70,"14,396",0,12,0,"7,147",49.6,"7,261",50.4
N41,KUALA RAJANG,P206, TANJONG MANIS,"11,305","11,428","18,223",778,6,RURAL,"18,223","1,362","4,476","3,957","3,024","2,672","1,705",771,200,56,73,1457,4813,92,11632,110,"18,215",0,8,0,"9,104",49.96,"9,119",50.04
N42,SEMOP,P206, TANJONG MANIS,"10,594","10,297","14,725",1246,8,RURAL,"14,725",906,"2,921","3,085","2,672","2,448","1,654",729,208,102,39,539,2918,70,11126,72,"14,725",0,0,0,"7,351",49.92,"7,374",50.08
N43,DARO,P207, IGAN,"9,413","9,195","14,116",1482,6,RURAL/SUBURBAN,"14,116","1,004","3,361","3,167","2,154","2,106","1,455",638,184,47,42,516,3710,42,9729,93,"14,040",0,76,0,"7,018",49.72,"7,098",50.28
N44,JEMORENG,P207, IGAN,"10,179","9,963","14,174",724,10,RURAL,"14,174",885,"3,146","2,998","2,368","2,248","1,505",799,185,40,18,569,845,55,12649,71,"14,173",0,0,1,"6,959",49.1,"7,215",50.9
N45,REPOK,P208, SARIKEI,"21,668","23,541","31,110",144,8,URBAN,"31,110","1,679","5,901","6,321","5,524","4,913","4,004","1,956",633,179,189,21126,6824,102,2663,189,"30,861",0,249,0,"15,617",50.2,"15,493",49.8
N46,MERADONG,P208, SARIKEI,"17,893","18,156","23,908",568,12,RURAL/SUBURBAN,"23,908","1,369","4,750","4,844","4,130","3,925","2,709","1,427",562,192,115,12186,10164,64,1132,194,"23,826",0,82,0,"12,043",50.37,"11,865",49.63
N47,PAKAN,P209, JULAU,"11,095","11,154","14,615",853,6,RURAL,"14,615",869,"2,977","2,939","2,512","2,648","1,575",712,257,126,86,974,13246,91,107,130,"14,615",0,0,0,"7,535",51.56,"7,080",48.44
N48,MELUAN,P209, JULAU,"14,285","14,671","20,235",2006,7,RURAL,"20,235","1,325","4,158","4,020","3,726","3,191","2,035","1,119",433,228,118,761,18860,120,153,224,"20,169",0,66,0,"10,250",50.65,"9,985",49.35
N49,NGEMAH,P210, KANOWIT,"9,516","9,853","14,109",1211,6,RURAL,"14,109",894,"2,649","3,015","2,342","2,245","1,665",831,310,158,56,894,12864,59,118,145,"14,109",0,0,0,"7,045",49.93,"7,064",50.07
N50,MACHAN,P210, KANOWIT,"11,506","11,763","16,879",976,7,RURAL,"16,879","1,052","3,378","3,455","2,749","2,796","2,002",959,343,145,122,2673,12958,61,845,260,"16,794",0,85,0,"8,430",49.94,"8,449",50.06
N51,BUKIT ASSEK,P211, LANANG,"28,578","27,636","34,972",53,14,URBAN,"34,972","1,345","4,799","5,803","6,190","6,218","6,075","3,206","1,059",277,68,29660,2756,117,2416,123,"34,970",0,0,2,"16,729",47.84,"18,243",52.16
N52,DUDONG,P211, LANANG,"33,395","34,955","52,384",669,12,RURAL/SUBURBAN,"52,384","3,886","13,616","11,491","8,845","6,976","4,507","2,117",676,270,411,27147,18581,165,5202,908,"50,654","1,012",716,2,"26,361",50.32,"26,023",49.68
N53,BAWANG ASSAN,P212, SIBU,"19,675","19,650","22,520",1074,13,RURAL/SUBURBAN,"22,520",888,"3,380","4,098","3,572","4,251","3,573","1,811",691,256,133,10637,9947,98,1552,243,"22,471",0,49,0,"11,083",49.21,"11,437",50.79
N54,PELAWAN,P212, SIBU,"34,626","34,466","50,276",12,11,URBAN,"50,276","3,006","10,579","11,429","9,583","7,523","5,055","2,224",720,157,178,45808,1678,126,2235,279,"49,779",0,490,7,"25,008",49.74,"25,268",50.26
N55,NANGKA,P212, SIBU,"19,848","23,092","33,079",313,8,RURAL/SUBURBAN,"33,079","2,719","8,610","7,623","5,700","3,941","2,688","1,265",382,151,396,9247,7413,219,15122,659,"31,322","1,756",0,1,"16,586",50.14,"16,493",49.86
N56,DALAT,P213, MUKAH,"12,015","12,503","17,822",658,16,RURAL/SUBURBAN,"17,822","1,159","3,998","3,472","2,936","2,904","2,000","1,064",250,39,39,1515,460,41,15661,148,"17,748",0,73,1,"8,985",50.42,"8,837",49.58
N57,TELLIAN,P213, MUKAH,"9,861","10,059","15,933",1227,15,RURAL/SUBURBAN,"15,933","1,109","3,490","3,307","2,707","2,437","1,655",895,277,56,79,2173,4715,66,8724,194,"15,810",0,123,0,"8,075",50.68,"7,858",49.32
N58,BALINGIAN,P213, MUKAH,"8,732","8,704","13,209",1100,14,RURAL,"13,209",860,"2,764","2,955","2,303","2,016","1,394",678,174,65,32,971,4026,48,8021,114,"13,203",0,6,0,"6,719",50.87,"6,490",49.13
N59,TAMIN,P214, SELANGAU,"16,201","16,681","23,320",3492,5,RURAL,"23,320","1,678","4,961","4,659","4,166","3,713","2,315","1,097",506,225,108,662,21658,128,251,376,"23,305",0,15,0,"11,632",49.88,"11,688",50.12
N60,KAKUS,P214, SELANGAU,"13,825","14,416","22,423",5701,25,RURAL/SUBURBAN,"22,423","1,762","4,985","4,818","3,885","3,306","2,145","1,055",304,163,120,1056,17984,81,965,2126,"22,352",0,71,0,"11,519",51.37,"10,904",48.63
N61,PELAGUS,P215, KAPIT,"7,863","7,894","11,538",1635,4,RURAL/SUBURBAN,"11,538",867,"2,543","2,533","1,901","1,741","1,030",579,236,108,28,83,11014,75,95,225,"11,538",0,0,0,"5,790",50.18,"5,748",49.82
N62,KATIBAS,P215, KAPIT,"10,627","10,530","15,866",3820,7,RURAL/SUBURBAN,"15,866",976,"3,087","3,485","2,645","2,488","1,744",902,380,159,63,775,14275,76,498,232,"15,795",0,71,0,"7,989",50.35,"7,877",49.65
N63,BUKIT GORAM,P215, KAPIT,"12,168","12,150","17,806",876,8,RURAL,"17,806","1,225","3,822","3,754","3,002","2,847","1,747",928,322,159,76,3081,12958,157,973,591,"17,693",0,112,1,"8,616",48.39,"9,190",51.61
N64,BALEH,P216, HULU RAJANG,"10,225","10,137","15,555",11607,5,RURAL,"15,555","1,132","3,270","3,482","2,484","2,163","1,491",880,438,215,27,107,14801,109,60,482,"15,555",0,0,0,"7,949",51.1,"7,606",48.9
N65,BELAGA,P216, HULU RAJANG,"7,925","8,003","12,185",11579,7,RURAL,"12,185",854,"2,686","2,531","2,039","1,888","1,209",533,251,194,52,391,3228,108,453,7952,"12,106",0,79,0,"6,253",51.32,"5,932",48.68
N66,MURUM,P216, HULU RAJANG,"9,370","9,738","15,698",10894,3,RURAL,"15,698","1,295","3,911","3,200","2,565","2,235","1,344",647,306,195,67,290,3124,237,153,11760,"15,698",0,0,0,"7,961",50.71,"7,737",49.29
N67,JEPAK,P217, BINTULU,"14,406","14,643","22,534",701,6,RURAL/SUBURBAN,"22,534","1,705","4,924","4,535","3,901","3,561","2,502","1,031",269,106,188,1421,7721,164,12199,827,"22,491",0,43,0,"11,420",50.68,"11,114",49.32
N68,TANJONG BATU,P217, BINTULU,"21,532","22,743","37,819",35,6,URBAN,"37,819","2,971","9,702","8,461","5,812","5,585","3,764","1,171",303,50,557,23068,6411,173,5664,1918,"37,472",0,344,3,"19,124",50.57,"18,695",49.43
N69,KEMENA,P217, BINTULU,"14,103","14,252","22,402",5307,9,RURAL,"22,402","1,480","4,641","4,554","3,886","3,617","2,370","1,266",383,205,148,835,18582,121,1369,1366,"22,402",0,0,0,"11,376",50.78,"11,026",49.22
N70,SAMALAJU,P217, BINTULU,"15,008","17,981","30,844",2257,7,RURAL/SUBURBAN,"30,844","2,660","8,676","6,984","4,783","4,209","2,490",773,189,80,745,3303,17884,164,6092,2512,"30,382",462,0,0,"15,836",51.34,"15,008",48.66
N71,BEKENU,P218, SIBUTI,"12,692","12,674","19,987",1103,9,RURAL/SUBURBAN,"19,987","1,203","3,819","4,116","3,279","3,019","2,802","1,303",342,104,272,2357,7521,369,4708,4771,"19,953",0,34,0,"10,426",52.16,"9,561",47.84
N72,LAMBIR,P218, SIBUTI,"19,176","19,907","38,535",473,6,RURAL/SUBURBAN,"38,535","2,839","10,191","9,594","6,274","4,737","3,197","1,314",303,86,771,10993,11900,263,7471,7085,"37,791",725,16,3,"19,725",51.19,"18,810",48.81
N73,PIASAU,P219, MIRI,"21,666","21,377","30,781",51,9,URBAN,"30,781","1,495","4,948","5,381","4,627","4,968","5,177","2,786","1,021",378,386,16644,4669,463,6855,1819,"30,287",0,494,0,"15,326",49.79,"15,455",50.21
N74,PUJUT,P219, MIRI,"27,681","27,567","43,884",17,2,URBAN,"43,884","2,166","8,338","9,564","7,782","6,987","5,836","2,314",689,208,512,26434,4077,524,10288,2142,"43,877",0,0,7,"21,801",49.68,"22,083",50.32
N75,SENADIN,P219, MIRI,"31,039","34,117","68,564",703,3,URBAN,"68,564","5,998","19,027","16,209","11,438","8,626","4,992","1,797",386,91,1401,23240,21797,406,14105,7447,"68,013",0,549,2,"34,295",50.02,"34,269",49.98
N76,MARUDI,P220, BARAM,"15,686","16,478","25,413",3538,7,RURAL/SUBURBAN,"25,413","1,565","4,870","5,161","4,335","4,080","3,082","1,439",573,308,141,3391,14849,204,2656,4201,"25,340",0,72,1,"13,003",51.17,"12,410",48.83
N77,TELANG USAN,P220, BARAM,"10,813","11,465","18,062",9062,6,RURAL,"18,062","1,191","3,391","3,488","3,009","2,953","2,136",895,536,463,57,576,538,273,75,16496,"18,055",0,7,0,"9,455",52.35,"8,607",47.65
N78,MULU,P220, BARAM,"9,186","9,572","16,060",9475,10,RURAL,"16,060","1,018","3,128","2,992","2,594","2,706","1,935",901,486,300,70,453,4352,210,158,10792,"16,060",0,0,0,"8,318",51.79,"7,742",48.21
N79,BUKIT KOTA,P221, LIMBANG,"17,057","16,975","26,864",468,10,RURAL/SUBURBAN,"26,864","1,840","5,662","5,896","4,550","3,811","3,219","1,285",454,147,147,6795,2832,495,10450,6164,"26,508",0,356,0,"13,683",50.93,"13,181",49.07
N80,BATU DANAU,P221, LIMBANG,"9,352","9,375","15,135",3743,5,RURAL,"15,135","1,005","3,015","3,303","2,631","2,398","1,755",721,221,86,61,539,7852,55,652,5985,"15,129",0,4,2,"7,761",51.28,"7,374",48.72
N81,BA`KELALAN,P222, LAWAS,"8,151","8,503","13,793",3444,20,RURAL,"13,793",997,"3,133","2,920","2,278","2,159","1,439",551,228,88,62,692,562,139,410,11917,"13,793",0,0,0,"7,253",52.58,"6,540",47.42
N82,BUKIT SARI,P222, LAWAS,"13,146","13,054","19,862",445,22,RURAL/SUBURBAN,"19,862","1,386","4,354","4,379","3,426","2,770","2,222",908,302,115,44,2472,458,344,11818,4728,"19,760",0,102,0,"10,170",51.2,"9,692",48.8
